Género,Edad,Entrante,Primer Plato,Segundo Plato,Bebida,Postre
Masculino,18,Ensaladilla,Macarrones,Pollo al curry,Agua,Fruta fresca
Femenino,37,Jamón,Paella,Pollo asado,Agua,Fruta fresca
Femenino,34,Gazpacho,Macarrones,Cachopo,Vino blanco,Queso y membrillo
Femenino,27,Gazpacho,Sopa de pollo,Merluza al horno,Refresco,Fruta fresca
Femenino,48,Ensalada César,Macarrones,Filete de ternera,Vino blanco,Queso y membrillo
Masculino,31,Espárragos,Arroz 3 delicias,Salmón,Refresco,Brownie
Masculino,64,Ninguno,Lasaña,Costillas BBQ,Vino tinto,Helado
Femenino,31,Jamón,Menestra de verduras,Bacalao,Vino tinto,Brownie
Masculino,26,Langostinos,Sopa de pollo,Filete de ternera,Vino blanco,Fruta fresca
Femenino,27,Mejillones,Paella,Merluza al horno,Vino tinto,Helado
Femenino,41,Langostinos,Paella,Salmón,Refresco,Queso y membrillo
Femenino,20,Jamón,Arroz 3 delicias,Pollo asado,Cerveza,Fruta fresca
Femenino,35,Ninguno,Sopa de pollo,Merluza al horno,Agua,Queso y membrillo
Femenino,24,Gazpacho,Garbanzos con espinacas,Pollo asado,Cerveza,Queso y membrillo
Masculino,30,Croquetas,Arroz 3 delicias,Salmón,Refresco,Brownie
Femenino,69,Ensalada César,Sopa de pollo,Chuletón,Cerveza,Brownie
Femenino,36,Jamón,Arroz 3 delicias,Pollo al curry,Vino tinto,Fruta fresca
Femenino,30,Ensalada César,Risotto,Merluza al horno,Agua,Queso y membrillo
Femenino,47,Ensaladilla,Risotto,Filete de ternera,Vino blanco,Queso y membrillo
Masculino,79,Langostinos,Arroz 3 delicias,Albóndigas,Vino tinto,Queso y membrillo
Masculino,75,Gazpacho,Paella,Cachopo,Vino tinto,Brownie
Femenino,83,Gazpacho,Crema de verduras,Costillas BBQ,Agua,Helado
Masculino,90,Jamón,Macarrones,Chuletón,Vino tinto,Brownie
Femenino,78,Espárragos,Macarrones,Pollo asado,Cerveza,Queso y membrillo
Masculino,43,Croquetas,Crema de verduras,Chuletón,Refresco,Helado
Femenino,74,Langostinos,Arroz 3 delicias,Hamburguesa,Refresco,Queso y membrillo
Masculino,86,Langostinos,Risotto,Filete de ternera,Agua,Flan
Femenino,85,Ensalada César,Risotto,Merluza al horno,Cerveza,Fruta fresca
Femenino,52,Espárragos,Risotto,Bacalao,Cerveza,Fruta fresca
Femenino,50,Ensaladilla,Sopa de pollo,Filete de ternera,Vino blanco,Fruta fresca
Masculino,85,Ensaladilla,Menestra de verduras,Pollo asado,Cerveza,Queso y membrillo
Masculino,84,Jamón,Menestra de verduras,Salmón,Vino blanco,Brownie
Femenino,28,Ensalada César,Crema de verduras,Bacalao,Vino blanco,Helado
Femenino,52,Ninguno,Garbanzos con espinacas,Salmón,Agua,Fruta fresca
Femenino,83,Gazpacho,Sopa de pollo,Costillas BBQ,Cerveza,Flan
Femenino,84,Ninguno,Garbanzos con espinacas,Merluza al horno,Vino blanco,Brownie
Femenino,26,Empanada,Lasaña,Chuletón,Agua,Queso y membrillo
Masculino,21,Empanada,Paella,Pollo asado,Vino tinto,Tarta de queso
Femenino,59,Empanada,Crema de verduras,Merluza al horno,Cerveza,Flan
Masculino,72,Croquetas,Garbanzos con espinacas,Bacalao,Cerveza,Flan
Masculino,30,Ninguno,Menestra de verduras,Costillas BBQ,Vino blanco,Queso y membrillo
Femenino,42,Mejillones,Garbanzos con espinacas,Merluza al horno,Agua,Helado
Femenino,32,Jamón,Macarrones,Chuletón,Refresco,Helado
Femenino,48,Ninguno,Paella,Bacalao,Cerveza,Tarta de queso
Femenino,57,Ensalada César,Macarrones,Pollo al curry,Agua,Fruta fresca
Masculino,71,Empanada,Menestra de verduras,Pollo asado,Vino tinto,Brownie
Femenino,27,Gazpacho,Sopa de pollo,Pollo al curry,Vino tinto,Brownie
Masculino,85,Croquetas,Menestra de verduras,Pollo asado,Vino tinto,Helado
Femenino,75,Ensaladilla,Lentejas,Cachopo,Vino tinto,Fruta fresca
Femenino,89,Gazpacho,Risotto,Costillas BBQ,Cerveza,Fruta fresca
Masculino,84,Ensaladilla,Crema de verduras,Bacalao,Vino tinto,Fruta fresca
Femenino,88,Espárragos,Garbanzos con espinacas,Bacalao,Cerveza,Tarta de queso
Femenino,53,Ninguno,Macarrones,Pollo al curry,Vino tinto,Queso y membrillo
Femenino,21,Mejillones,Lentejas,Costillas BBQ,Refresco,Tarta de queso
Femenino,22,Gazpacho,Garbanzos con espinacas,Pollo al curry,Cerveza,Helado
Masculino,76,Mejillones,Risotto,Pollo al curry,Vino blanco,Helado
Femenino,68,Ensalada César,Risotto,Cachopo,Vino blanco,Helado
Masculino,74,Ensaladilla,Crema de verduras,Filete de ternera,Agua,Flan
Masculino,76,Langostinos,Lasaña,Filete de ternera,Cerveza,Flan
Masculino,44,Langostinos,Crema de verduras,Filete de ternera,Vino tinto,Queso y membrillo
Masculino,63,Ninguno,Menestra de verduras,Pollo asado,Vino tinto,Tarta de queso
Masculino,59,Espárragos,Risotto,Filete de ternera,Cerveza,Tarta de queso
Femenino,65,Ensaladilla,Arroz 3 delicias,Albóndigas,Vino tinto,Flan
Masculino,65,Gazpacho,Crema de verduras,Merluza al horno,Vino tinto,Brownie
Femenino,84,Mejillones,Paella,Hamburguesa,Agua,Queso y membrillo
Masculino,39,Ensalada César,Menestra de verduras,Pollo asado,Vino blanco,Fruta fresca
Femenino,45,Croquetas,Sopa de pollo,Bacalao,Vino tinto,Queso y membrillo
Masculino,29,Empanada,Crema de verduras,Merluza al horno,Vino tinto,Queso y membrillo
Femenino,89,Langostinos,Lentejas,Hamburguesa,Agua,Queso y membrillo
Femenino,81,Ninguno,Lentejas,Cachopo,Agua,Flan
Femenino,81,Mejillones,Risotto,Merluza al horno,Agua,Brownie
Femenino,78,Ninguno,Lasaña,Merluza al horno,Vino tinto,Brownie
Masculino,24,Langostinos,Paella,Salmón,Vino tinto,Brownie
Femenino,67,Ensaladilla,Lentejas,Bacalao,Agua,Flan
Femenino,41,Langostinos,Risotto,Salmón,Vino tinto,Brownie
Masculino,42,Jamón,Macarrones,Pollo asado,Vino blanco,Flan
Masculino,84,Empanada,Crema de verduras,Chuletón,Cerveza,Flan
Femenino,39,Espárragos,Crema de verduras,Pollo al curry,Vino blanco,Queso y membrillo
Femenino,58,Empanada,Menestra de verduras,Hamburguesa,Cerveza,Tarta de queso
Femenino,33,Ensalada César,Sopa de pollo,Bacalao,Cerveza,Queso y membrillo
Masculino,31,Espárragos,Garbanzos con espinacas,Filete de ternera,Vino tinto,Brownie
Masculino,61,Ensaladilla,Risotto,Chuletón,Vino tinto,Flan
Masculino,28,Empanada,Crema de verduras,Merluza al horno,Vino blanco,Flan
Femenino,29,Jamón,Paella,Salmón,Cerveza,Brownie
Masculino,60,Jamón,Lasaña,Bacalao,Cerveza,Flan
Masculino,85,Mejillones,Sopa de pollo,Filete de ternera,Vino blanco,Tarta de queso
Masculino,71,Ninguno,Lasaña,Filete de ternera,Agua,Brownie
Masculino,55,Empanada,Sopa de pollo,Merluza al horno,Agua,Tarta de queso
Femenino,66,Ensaladilla,Risotto,Bacalao,Cerveza,Queso y membrillo
Femenino,81,Langostinos,Menestra de verduras,Hamburguesa,Vino blanco,Fruta fresca
Masculino,84,Mejillones,Sopa de pollo,Pollo al curry,Agua,Helado
Masculino,31,Espárragos,Arroz 3 delicias,Salmón,Vino blanco,Tarta de queso
Femenino,85,Espárragos,Lentejas,Hamburguesa,Cerveza,Flan
Masculino,26,Ensalada César,Arroz 3 delicias,Salmón,Agua,Helado
Femenino,48,Jamón,Risotto,Cachopo,Refresco,Fruta fresca
Masculino,71,Ninguno,Macarrones,Merluza al horno,Vino blanco,Fruta fresca
Masculino,69,Croquetas,Crema de verduras,Pollo asado,Agua,Helado
Masculino,70,Croquetas,Menestra de verduras,Bacalao,Agua,Fruta fresca
Masculino,31,Jamón,Risotto,Cachopo,Agua,Brownie
Femenino,60,Gazpacho,Menestra de verduras,Pollo al curry,Vino blanco,Brownie
Masculino,44,Espárragos,Lentejas,Pollo asado,Vino tinto,Tarta de queso
Masculino,23,Ninguno,Arroz 3 delicias,Chuletón,Refresco,Flan
Masculino,37,Mejillones,Garbanzos con espinacas,Chuletón,Refresco,Tarta de queso
Femenino,71,Empanada,Crema de verduras,Merluza al horno,Agua,Tarta de queso
Femenino,46,Ensalada César,Risotto,Filete de ternera,Agua,Flan
Femenino,80,Langostinos,Menestra de verduras,Hamburguesa,Refresco,Tarta de queso
Femenino,34,Langostinos,Lentejas,Bacalao,Agua,Flan
Femenino,87,Espárragos,Menestra de verduras,Merluza al horno,Agua,Fruta fresca
Masculino,78,Ensaladilla,Arroz 3 delicias,Pollo al curry,Cerveza,Helado
Femenino,21,Espárragos,Risotto,Salmón,Vino blanco,Flan
Masculino,77,Espárragos,Paella,Salmón,Agua,Tarta de queso
Femenino,39,Ensalada César,Macarrones,Costillas BBQ,Refresco,Tarta de queso
Masculino,58,Ensaladilla,Lasaña,Pollo al curry,Cerveza,Flan
Masculino,67,Ensaladilla,Paella,Bacalao,Agua,Fruta fresca
Masculino,68,Gazpacho,Risotto,Albóndigas,Refresco,Flan
Femenino,63,Empanada,Paella,Filete de ternera,Cerveza,Tarta de queso
Femenino,35,Ensalada César,Macarrones,Albóndigas,Refresco,Queso y membrillo
Femenino,31,Empanada,Lentejas,Pollo asado,Vino blanco,Flan
Femenino,45,Langostinos,Garbanzos con espinacas,Merluza al horno,Vino tinto,Flan
Femenino,48,Empanada,Arroz 3 delicias,Filete de ternera,Agua,Brownie
Masculino,46,Croquetas,Garbanzos con espinacas,Albóndigas,Refresco,Queso y membrillo
Masculino,47,Mejillones,Arroz 3 delicias,Merluza al horno,Vino tinto,Flan
Masculino,81,Espárragos,Lasaña,Albóndigas,Refresco,Queso y membrillo
Femenino,20,Gazpacho,Sopa de pollo,Bacalao,Cerveza,Fruta fresca
Femenino,18,Langostinos,Menestra de verduras,Merluza al horno,Refresco,Helado
Masculino,78,Ensalada César,Crema de verduras,Hamburguesa,Agua,Queso y membrillo
Femenino,81,Ensalada César,Paella,Merluza al horno,Vino blanco,Flan
Femenino,54,Langostinos,Crema de verduras,Bacalao,Vino blanco,Tarta de queso
Masculino,33,Jamón,Macarrones,Cachopo,Cerveza,Flan
Masculino,44,Ensalada César,Paella,Albóndigas,Vino blanco,Brownie
Masculino,34,Empanada,Lasaña,Merluza al horno,Vino tinto,Brownie
Femenino,90,Ensaladilla,Crema de verduras,Merluza al horno,Refresco,Fruta fresca
Masculino,52,Ninguno,Arroz 3 delicias,Salmón,Cerveza,Helado
Femenino,38,Gazpacho,Lasaña,Filete de ternera,Refresco,Queso y membrillo
Femenino,20,Ninguno,Menestra de verduras,Albóndigas,Cerveza,Tarta de queso
Femenino,20,Ensalada César,Menestra de verduras,Filete de ternera,Vino tinto,Helado
Masculino,50,Ensalada César,Risotto,Merluza al horno,Vino tinto,Brownie
Femenino,31,Jamón,Paella,Filete de ternera,Cerveza,Fruta fresca
Masculino,33,Jamón,Arroz 3 delicias,Chuletón,Refresco,Queso y membrillo
Femenino,31,Ninguno,Lasaña,Chuletón,Vino tinto,Flan
Masculino,32,Croquetas,Crema de verduras,Bacalao,Vino blanco,Helado
Masculino,34,Ninguno,Arroz 3 delicias,Pollo al curry,Cerveza,Tarta de queso
Femenino,31,Empanada,Garbanzos con espinacas,Pollo asado,Agua,Tarta de queso
Masculino,83,Empanada,Macarrones,Filete de ternera,Agua,Flan
Masculino,38,Ninguno,Menestra de verduras,Hamburguesa,Agua,Flan
Femenino,81,Espárragos,Menestra de verduras,Merluza al horno,Agua,Fruta fresca
Masculino,48,Langostinos,Risotto,Merluza al horno,Vino blanco,Tarta de queso
Masculino,21,Espárragos,Paella,Filete de ternera,Refresco,Helado
Femenino,19,Empanada,Macarrones,Bacalao,Refresco,Fruta fresca
Masculino,45,Espárragos,Macarrones,Merluza al horno,Vino blanco,Brownie
Femenino,49,Croquetas,Crema de verduras,Pollo al curry,Agua,Tarta de queso
Femenino,52,Mejillones,Lasaña,Cachopo,Agua,Helado
Masculino,77,Gazpacho,Macarrones,Costillas BBQ,Vino tinto,Queso y membrillo
Masculino,54,Ninguno,Menestra de verduras,Costillas BBQ,Cerveza,Helado
Masculino,52,Ensalada César,Garbanzos con espinacas,Filete de ternera,Vino blanco,Brownie
Femenino,29,Jamón,Risotto,Filete de ternera,Vino tinto,Brownie
Femenino,68,Mejillones,Menestra de verduras,Chuletón,Refresco,Helado
Masculino,83,Croquetas,Lasaña,Hamburguesa,Vino tinto,Helado
Femenino,58,Ensalada César,Arroz 3 delicias,Chuletón,Vino tinto,Tarta de queso
Femenino,78,Croquetas,Menestra de verduras,Cachopo,Vino blanco,Helado
Masculino,76,Croquetas,Crema de verduras,Chuletón,Vino tinto,Tarta de queso
Femenino,24,Gazpacho,Menestra de verduras,Chuletón,Refresco,Tarta de queso
Femenino,68,Jamón,Lentejas,Merluza al horno,Cerveza,Flan
Masculino,71,Ensaladilla,Macarrones,Cachopo,Cerveza,Flan
Femenino,34,Espárragos,Menestra de verduras,Pollo asado,Agua,Helado
Femenino,88,Ensalada César,Crema de verduras,Pollo asado,Cerveza,Helado
Masculino,33,Espárragos,Lentejas,Costillas BBQ,Refresco,Fruta fresca
Masculino,49,Mejillones,Sopa de pollo,Merluza al horno,Vino blanco,Queso y membrillo
Masculino,20,Espárragos,Arroz 3 delicias,Filete de ternera,Cerveza,Brownie
Femenino,50,Ninguno,Crema de verduras,Pollo asado,Agua,Helado
Femenino,68,Empanada,Lentejas,Cachopo,Cerveza,Fruta fresca
Femenino,49,Ensaladilla,Lasaña,Hamburguesa,Refresco,Fruta fresca
Masculino,25,Mejillones,Lentejas,Filete de ternera,Vino blanco,Queso y membrillo
Masculino,73,Ninguno,Menestra de verduras,Hamburguesa,Refresco,Fruta fresca
Femenino,39,Empanada,Arroz 3 delicias,Salmón,Cerveza,Brownie
Masculino,35,Langostinos,Menestra de verduras,Hamburguesa,Agua,Tarta de queso
Masculino,53,Jamón,Macarrones,Hamburguesa,Agua,Queso y membrillo
Femenino,23,Langostinos,Crema de verduras,Filete de ternera,Agua,Fruta fresca
Femenino,48,Ninguno,Paella,Pollo asado,Cerveza,Brownie
Masculino,90,Ninguno,Garbanzos con espinacas,Pollo asado,Agua,Helado
Femenino,41,Langostinos,Sopa de pollo,Bacalao,Refresco,Fruta fresca
Masculino,72,Croquetas,Lasaña,Chuletón,Vino blanco,Fruta fresca
Masculino,88,Espárragos,Macarrones,Albóndigas,Vino blanco,Brownie
Masculino,25,Gazpacho,Lentejas,Cachopo,Vino blanco,Fruta fresca
Masculino,58,Espárragos,Lentejas,Costillas BBQ,Vino tinto,Helado
Femenino,52,Ensalada César,Paella,Costillas BBQ,Refresco,Queso y membrillo
Masculino,47,Ensalada César,Lentejas,Costillas BBQ,Vino tinto,Queso y membrillo
Femenino,45,Ensaladilla,Macarrones,Bacalao,Vino blanco,Flan
Femenino,65,Ninguno,Paella,Filete de ternera,Agua,Queso y membrillo
Femenino,58,Espárragos,Risotto,Merluza al horno,Refresco,Helado
Femenino,49,Ensalada César,Macarrones,Pollo asado,Refresco,Brownie
Masculino,23,Ensaladilla,Sopa de pollo,Cachopo,Vino blanco,Helado
Masculino,44,Ninguno,Crema de verduras,Hamburguesa,Cerveza,Fruta fresca
Masculino,53,Gazpacho,Arroz 3 delicias,Merluza al horno,Vino tinto,Brownie
Masculino,44,Ninguno,Crema de verduras,Pollo al curry,Vino tinto,Brownie
Masculino,37,Empanada,Crema de verduras,Bacalao,Vino blanco,Queso y membrillo
Femenino,65,Ensaladilla,Menestra de verduras,Cachopo,Cerveza,Flan
Femenino,26,Mejillones,Sopa de pollo,Cachopo,Agua,Flan
Femenino,25,Ensaladilla,Lentejas,Hamburguesa,Vino blanco,Fruta fresca
Femenino,61,Ensalada César,Lentejas,Bacalao,Refresco,Helado
Femenino,57,Empanada,Risotto,Bacalao,Agua,Queso y membrillo
Femenino,28,Ensaladilla,Menestra de verduras,Filete de ternera,Refresco,Brownie
Femenino,57,Espárragos,Paella,Merluza al horno,Agua,Brownie
Masculino,71,Ensaladilla,Menestra de verduras,Cachopo,Cerveza,Tarta de queso
Femenino,78,Langostinos,Risotto,Albóndigas,Vino tinto,Fruta fresca
Femenino,83,Mejillones,Risotto,Hamburguesa,Vino blanco,Fruta fresca
Femenino,20,Gazpacho,Garbanzos con espinacas,Merluza al horno,Cerveza,Fruta fresca
Masculino,77,Ensalada César,Lentejas,Pollo asado,Vino blanco,Queso y membrillo
Femenino,45,Ensalada César,Arroz 3 delicias,Pollo al curry,Vino tinto,Fruta fresca
Masculino,70,Espárragos,Sopa de pollo,Filete de ternera,Cerveza,Flan
Femenino,55,Ninguno,Lasaña,Costillas BBQ,Vino tinto,Queso y membrillo
Masculino,86,Gazpacho,Menestra de verduras,Pollo asado,Refresco,Flan
Femenino,19,Ninguno,Lasaña,Hamburguesa,Vino tinto,Helado
Femenino,25,Ninguno,Menestra de verduras,Hamburguesa,Vino blanco,Fruta fresca
Masculino,75,Jamón,Paella,Albóndigas,Vino blanco,Fruta fresca
Masculino,82,Mejillones,Macarrones,Albóndigas,Agua,Queso y membrillo
Femenino,37,Mejillones,Lasaña,Costillas BBQ,Vino tinto,Tarta de queso
Femenino,83,Mejillones,Risotto,Pollo al curry,Agua,Queso y membrillo
Femenino,62,Gazpacho,Macarrones,Cachopo,Vino blanco,Brownie
Femenino,58,Empanada,Arroz 3 delicias,Pollo asado,Refresco,Brownie
Masculino,86,Croquetas,Risotto,Pollo asado,Vino tinto,Tarta de queso
Femenino,61,Croquetas,Arroz 3 delicias,Hamburguesa,Vino tinto,Queso y membrillo
Masculino,55,Ensaladilla,Garbanzos con espinacas,Albóndigas,Vino blanco,Queso y membrillo
Femenino,27,Mejillones,Garbanzos con espinacas,Bacalao,Vino blanco,Fruta fresca
Masculino,68,Mejillones,Risotto,Filete de ternera,Vino blanco,Fruta fresca
Femenino,74,Espárragos,Sopa de pollo,Albóndigas,Vino tinto,Helado
Masculino,84,Ninguno,Macarrones,Merluza al horno,Refresco,Helado
Masculino,51,Empanada,Sopa de pollo,Bacalao,Refresco,Tarta de queso
Femenino,78,Mejillones,Paella,Chuletón,Refresco,Brownie
Masculino,25,Croquetas,Arroz 3 delicias,Salmón,Cerveza,Fruta fresca
Masculino,21,Croquetas,Lasaña,Filete de ternera,Refresco,Brownie
Femenino,29,Ensaladilla,Risotto,Cachopo,Vino tinto,Flan
Masculino,34,Croquetas,Garbanzos con espinacas,Salmón,Refresco,Flan
Masculino,41,Ensaladilla,Arroz 3 delicias,Merluza al horno,Vino blanco,Brownie
Femenino,52,Empanada,Lasaña,Bacalao,Vino tinto,Tarta de queso
Masculino,55,Ninguno,Garbanzos con espinacas,Hamburguesa,Cerveza,Flan
Femenino,55,Ensaladilla,Macarrones,Pollo al curry,Agua,Flan
Masculino,36,Ninguno,Menestra de verduras,Costillas BBQ,Vino tinto,Tarta de queso
Masculino,24,Empanada,Lentejas,Costillas BBQ,Refresco,Fruta fresca
Femenino,21,Gazpacho,Lasaña,Merluza al horno,Cerveza,Flan
Femenino,26,Croquetas,Garbanzos con espinacas,Bacalao,Agua,Fruta fresca
Femenino,59,Espárragos,Lentejas,Pollo al curry,Vino tinto,Flan
Femenino,20,Langostinos,Menestra de verduras,Chuletón,Vino blanco,Queso y membrillo
Masculino,35,Langostinos,Macarrones,Filete de ternera,Refresco,Tarta de queso
Femenino,73,Langostinos,Paella,Filete de ternera,Vino tinto,Queso y membrillo
Masculino,78,Ensaladilla,Sopa de pollo,Cachopo,Agua,Helado
Femenino,85,Ensalada César,Risotto,Costillas BBQ,Vino tinto,Brownie
Femenino,82,Mejillones,Crema de verduras,Cachopo,Refresco,Tarta de queso
Femenino,70,Langostinos,Macarrones,Pollo asado,Vino tinto,Helado
Masculino,75,Espárragos,Garbanzos con espinacas,Chuletón,Refresco,Brownie
Femenino,72,Croquetas,Menestra de verduras,Merluza al horno,Cerveza,Brownie
Masculino,47,Espárragos,Menestra de verduras,Costillas BBQ,Agua,Flan
Masculino,38,Jamón,Sopa de pollo,Chuletón,Vino blanco,Flan
Masculino,76,Jamón,Crema de verduras,Salmón,Cerveza,Helado
Masculino,76,Mejillones,Sopa de pollo,Cachopo,Cerveza,Tarta de queso
Masculino,70,Ensaladilla,Menestra de verduras,Pollo al curry,Vino tinto,Brownie
Masculino,33,Gazpacho,Sopa de pollo,Pollo asado,Cerveza,Fruta fresca
Masculino,38,Mejillones,Paella,Albóndigas,Vino blanco,Queso y membrillo
Masculino,47,Mejillones,Sopa de pollo,Salmón,Refresco,Helado
Masculino,38,Empanada,Lentejas,Merluza al horno,Vino tinto,Tarta de queso
Masculino,77,Ensalada César,Crema de verduras,Pollo asado,Refresco,Fruta fresca
Femenino,88,Croquetas,Menestra de verduras,Pollo asado,Agua,Helado
Femenino,37,Ensaladilla,Risotto,Hamburguesa,Vino tinto,Fruta fresca
Femenino,85,Ninguno,Macarrones,Merluza al horno,Cerveza,Tarta de queso
Femenino,72,Empanada,Lentejas,Salmón,Vino tinto,Tarta de queso
Masculino,42,Gazpacho,Arroz 3 delicias,Filete de ternera,Cerveza,Queso y membrillo
Femenino,54,Ensalada César,Garbanzos con espinacas,Filete de ternera,Vino blanco,Brownie
Masculino,84,Ninguno,Macarrones,Pollo asado,Vino tinto,Tarta de queso
Masculino,31,Jamón,Paella,Filete de ternera,Agua,Brownie
Masculino,42,Langostinos,Crema de verduras,Costillas BBQ,Cerveza,Queso y membrillo
Femenino,64,Jamón,Sopa de pollo,Hamburguesa,Agua,Brownie
Masculino,22,Ninguno,Lasaña,Pollo asado,Vino tinto,Fruta fresca
Masculino,78,Espárragos,Crema de verduras,Cachopo,Cerveza,Brownie
Masculino,62,Croquetas,Garbanzos con espinacas,Cachopo,Vino tinto,Queso y membrillo
Femenino,77,Ninguno,Macarrones,Bacalao,Vino tinto,Fruta fresca
Femenino,39,Jamón,Risotto,Bacalao,Cerveza,Brownie
Masculino,82,Jamón,Sopa de pollo,Merluza al horno,Agua,Flan
Masculino,69,Langostinos,Menestra de verduras,Hamburguesa,Cerveza,Brownie
Femenino,28,Empanada,Paella,Bacalao,Cerveza,Fruta fresca
Femenino,47,Jamón,Paella,Pollo asado,Cerveza,Helado
Femenino,52,Empanada,Macarrones,Bacalao,Agua,Helado
Masculino,28,Ensaladilla,Risotto,Hamburguesa,Refresco,Brownie
Masculino,74,Empanada,Sopa de pollo,Merluza al horno,Refresco,Fruta fresca
Femenino,56,Mejillones,Crema de verduras,Albóndigas,Vino blanco,Tarta de queso
Masculino,25,Langostinos,Menestra de verduras,Bacalao,Vino blanco,Brownie
Masculino,35,Ensalada César,Sopa de pollo,Filete de ternera,Vino blanco,Brownie
Femenino,46,Empanada,Menestra de verduras,Costillas BBQ,Refresco,Fruta fresca
Masculino,55,Croquetas,Arroz 3 delicias,Chuletón,Vino blanco,Tarta de queso
Femenino,34,Jamón,Macarrones,Bacalao,Vino tinto,Helado
Masculino,63,Jamón,Crema de verduras,Filete de ternera,Vino tinto,Brownie
Femenino,19,Jamón,Risotto,Pollo asado,Agua,Tarta de queso
Masculino,45,Empanada,Sopa de pollo,Hamburguesa,Vino tinto,Queso y membrillo
Masculino,58,Ninguno,Risotto,Hamburguesa,Vino tinto,Brownie
Femenino,56,Gazpacho,Macarrones,Albóndigas,Agua,Flan
Femenino,35,Espárragos,Crema de verduras,Salmón,Agua,Helado
Masculino,19,Jamón,Paella,Pollo asado,Refresco,Flan
Masculino,35,Ninguno,Sopa de pollo,Cachopo,Vino blanco,Flan
Femenino,79,Langostinos,Paella,Costillas BBQ,Cerveza,Helado
Masculino,42,Jamón,Sopa de pollo,Cachopo,Vino blanco,Fruta fresca
Femenino,65,Gazpacho,Paella,Hamburguesa,Vino tinto,Fruta fresca
